TYPE UNDIRECTED
NODE 0 POS 100 0 RADIUS 20 COL #DDDDDD
NODE 1 POS 300 0 RADIUS 20 COL #DDDDDD
NODE 2 POS 0 0 RADIUS 20 COL #DDDDDD
NODE 3 POS 100 200 RADIUS 20 COL #DDDDDD
NODE 4 POS 200 100 RADIUS 20 COL #DDDDDD
NODE 5 POS 300 100 RADIUS 50 COL #DDDDDD
NODE 6 POS 300 200 RADIUS 20 COL #DDDDDD
NODE 7 POS 200 200 RADIUS 20 COL #DDDDDD
NODE 8 POS 100 100 RADIUS 20 COL #DDDDDD
NODE 9 POS 0 100 RADIUS 20 COL #DDDDDD
NODE 10 POS 0 200 RADIUS 20 COL #DDDDDD
NODE 11 POS 200 0 RADIUS 20 COL #DDDDDD
EDGE 0 2 1 COL black WIDTH 2 TEXT_T 0.65
EDGE 2 0 1 COL black WIDTH 2 TEXT_T 0.65
EDGE 11 0 7 COL black WIDTH 2 TEXT_T 0.65
EDGE 0 11 7 COL black WIDTH 2 TEXT_T 0.65
EDGE 1 11 40 COL black WIDTH 2 TEXT_T 0.65
EDGE 11 1 40 COL black WIDTH 2 TEXT_T 0.65
EDGE 11 4 2 COL black WIDTH 2 TEXT_T 0.65
EDGE 4 11 2 COL black WIDTH 2 TEXT_T 0.65
EDGE 2 9 12 COL black WIDTH 2 TEXT_T 0.65
EDGE 9 2 12 COL black WIDTH 2 TEXT_T 0.65
EDGE 8 9 2 COL black WIDTH 2 TEXT_T 0.65
EDGE 9 8 2 COL black WIDTH 2 TEXT_T 0.65
EDGE 9 3 8 COL black WIDTH 2 TEXT_T 0.65
EDGE 3 9 8 COL black WIDTH 2 TEXT_T 0.65
EDGE 4 8 1 COL black WIDTH 2 TEXT_T 0.65
EDGE 8 4 1 COL black WIDTH 2 TEXT_T 0.65
EDGE 8 10 1 COL black WIDTH 2 TEXT_T 0.65
EDGE 10 8 1 COL black WIDTH 2 TEXT_T 0.65
EDGE 3 8 33 COL black WIDTH 2 TEXT_T 0.65
EDGE 8 3 33 COL black WIDTH 2 TEXT_T 0.65
EDGE 8 6 3 COL black WIDTH 2 TEXT_T 0.65
EDGE 6 8 3 COL black WIDTH 2 TEXT_T 0.65
EDGE 6 4 9 COL black WIDTH 2 TEXT_T 0.65
EDGE 4 6 9 COL black WIDTH 2 TEXT_T 0.65
EDGE 3 7 20 COL black WIDTH 2 TEXT_T 0.65
EDGE 7 3 20 COL black WIDTH 2 TEXT_T 0.65
EDGE 7 6 1 COL black WIDTH 2 TEXT_T 0.65
EDGE 6 7 1 COL black WIDTH 2 TEXT_T 0.65
EDGE 6 5 1 COL black WIDTH 2 TEXT_T 0.65
EDGE 5 6 1 COL black WIDTH 2 TEXT_T 0.65
